"id","requested","counts_3b_9b_12b","audio_3b_9b_12b","cooccur_3b_9b_12b","strong_3b_9b_12b","excluded_3b_9b_12b","only_wrong_3b_9b_12b","endpoint_missing_3b_9b_12b"
"development-01","15","4/4/4","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"development-02","12","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"development-03","15","15/15/15","0.9621394007191435/0.9621394007191435/0.9621394007191435","0.6110672257695122/0.6110672257695122/0.6110672257695122","0/0/0","0/0/0","0/0/0","0/0/0"
"development-04","12","3/3/3","0.9988572002680508/0.9988572002680508/0.9988572002680508","0.903674602234744/0.903674602234744/0.903674602234744","0/0/0","0/0/0","0/0/0","0/0/0"
"development-05","20","20/20/20","0.9734855284681647/0.9734855284681647/0.9734855284681647","0.9145243314076626/0.9145243314076626/0.9145243314076626","0/0/0","0/0/0","0/0/0","0/0/0"
"development-06","15","15/15/15","0.9642448401877762/0.9642448401877762/0.9642448401877762","0.8999813803615544/0.8999813803615544/0.8999813803615544","0/0/0","0/0/0","0/0/0","0/0/0"
"development-07","20","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"development-08","0","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"development-09","15","14/14/0","0.9966638627062283/0.9966638627062283/NA","0.8756419190107205/0.8756419190107205/NA","0/0/0","0/0/0","0/0/0","0/0/2"
"development-10","15","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"classical-focus","12","12/12/12","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"classical-no-vocals","12","4/4/4","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"aerosmith-neighbours","15","15/15/15","0.9482820667230653/0.9817272073534266/0.9442145545531095","0.5211464588040908/0.7484085445045691/0.5216270610684519","0/0/0","0/0/0","0/0/0","0/0/0"
"aerosmith-only","15","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"loeffler-relaxing","12","12/12/12","0.9722421447298558/0.9722421447298558/0.9722421447298558","0.8709307340261502/0.8709307340261502/0.8709307340261502","0/0/0","0/0/0","0/0/0","0/0/0"
"loeffler-energy","12","12/12/12","0.9733167889273493/0.9733167889273493/0.9753008815226304","0.7342018230533557/0.7342018230533557/0.8674190512776856","2/2/0","0/0/0","0/0/0","0/0/0"
"workout-rock","18","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"nin-manson-journey","14","14/14/14","0.9967625360643916/0.9967625360643916/0.9967625360643916","0.8765008978505054/0.8765008978505054/0.8765008978505054","0/0/0","0/0/0","0/0/0","0/0/0"
"manson-nin-journey","14","3/14/14","0.954511833991262/0.996569416720309/0.996569416720309","0.7019047496008736/0.8734121122950781/0.8734121122950781","0/0/0","0/0/0","0/0/0","1/0/0"
"nin-similarity","14","14/14/14","0.9966230077966758/0.9966230077966758/0.9966230077966758","0.8708319362855858/0.8708319362855858/0.8708319362855858","0/0/0","0/0/0","0/0/0","0/0/0"
"radiohead-exclusion","8","1/1/1","0.9831016084120018/0.9831016084120018/0.9831016084120018","0.4340610375237185/0.4340610375237185/0.4340610375237185","0/0/0","0/0/0","0/0/0","0/0/0"
"compound-band","10","10/10/10","0.9924446509274295/0.9924446509274295/0.9924446509274295","0.9391996147679927/0.9391996147679927/0.9391996147679927","0/0/0","7/7/7","0/0/0","0/0/0"
"massive-attack","10","3/3/3","0.938630195849945/0.938630195849945/0.938630195849945","0.4218861715858156/0.4218861715858156/0.4218861715858156","0/0/0","0/0/0","0/0/0","0/0/0"
"classical-roles","10","2/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"album-reference","10","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"track-reference","10","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"compound-duration","0","18/20/20","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"count-not-duration","12","12/12/12","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"release-range","12","12/12/12","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"date-alternatives","12","12/12/12","NA/NA/NA","NA/NA/NA","2/2/2","0/0/0","0/0/0","0/0/0"
"warm-not-aggressive","8","2/2/2","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"aggressive-not-warm","8","1/1/1","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"some-instrumental","13","13/13/13","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"all-instrumental","13","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"genre-alternative","12","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"genre-neither","12","0/0/0","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"early-aerosmith","15","14/14/14","0.9717241825803222/0.9717241825803222/0.9717241825803222","0.733482973206792/0.733482973206792/0.733482973206792","0/0/0","0/0/0","0/0/0","0/0/0"
"aerosmith-dates","15","15/15/15","0.9976765420288394/0.9976765420288394/0.9976765420288394","0.876719620100365/0.876719620100365/0.876719620100365","0/0/0","0/0/0","8/8/8","0/0/0"
"scope-local-vocals","16","4/4/4","NA/NA/NA","NA/NA/NA","0/0/0","0/0/0","0/0/0","0/0/0"
"named-required-track","12","12/12/12","0.9865614418331665/0.9865614418331665/0.9865614418331665","0.7775537788098591/0.7775537788098591/0.7775537788098591","0/0/0","0/0/0","0/0/0","0/0/0"
